LIGHTING_CONDITION,YEAR,INJURIES_FATAL
DARKNESS,2015,560
DARKNESS,2016,2417
DARKNESS,2017,4493
DARKNESS,2018,5789
DARKNESS,2019,5678
DARKNESS,2020,4653
DARKNESS,2021,4505
DARKNESS,2022,4405
DARKNESS,2023,3382
"DARKNESS, LIGHTED ROAD",2013,1
"DARKNESS, LIGHTED ROAD",2015,2149
"DARKNESS, LIGHTED ROAD",2016,7770
"DARKNESS, LIGHTED ROAD",2017,17479
"DARKNESS, LIGHTED ROAD",2018,25051
"DARKNESS, LIGHTED ROAD",2019,24710
"DARKNESS, LIGHTED ROAD",2020,21620
"DARKNESS, LIGHTED ROAD",2021,25654
"DARKNESS, LIGHTED ROAD",2022,24434
"DARKNESS, LIGHTED ROAD",2023,17169
DAWN,2015,111
DAWN,2016,685
DAWN,2017,1371
DAWN,2018,2166
DAWN,2019,2086
DAWN,2020,1596
DAWN,2021,1721
DAWN,2022,1592
DAWN,2023,1297
DAYLIGHT,2013,1
DAYLIGHT,2014,4
DAYLIGHT,2015,5950
DAYLIGHT,2016,29577
DAYLIGHT,2017,54687
DAYLIGHT,2018,77766
DAYLIGHT,2019,76502
DAYLIGHT,2020,57220
DAYLIGHT,2021,68034
DAYLIGHT,2022,67912
DAYLIGHT,2023,56065
DUSK,2014,1
DUSK,2015,337
DUSK,2016,1451
DUSK,2017,2628
DUSK,2018,3587
DUSK,2019,3517
DUSK,2020,2796
DUSK,2021,2857
DUSK,2022,2727
DUSK,2023,2047
UNKNOWN,2014,1
UNKNOWN,2015,657
UNKNOWN,2016,2134
UNKNOWN,2017,2663
UNKNOWN,2018,3885
UNKNOWN,2019,4089
UNKNOWN,2020,3383
UNKNOWN,2021,4913
UNKNOWN,2022,6086
UNKNOWN,2023,6261
