beat_num,crash_count
111,3372
112,2376
113,1791
114,7883
121,3611
122,6839
123,4691
124,4037
131,4620
132,4689
133,1845
211,2129
212,1916
213,1892
214,1192
215,1592
221,1021
222,2788
223,1433
224,1667
225,1742
231,1128
232,1007
233,1879
234,2942
235,1872
311,1248
312,2585
313,1317
314,1141
321,2845
322,2689
323,3408
324,2591
331,5218
332,2400
333,1439
334,1860
411,4316
412,3952
413,3558
414,2877
421,1810
422,825
423,2333
424,1394
431,2957
432,2996
433,2183
434,2114
511,4359
512,1899
513,2237
522,1143
523,1975
524,2231
531,1662
532,1659
533,1444
611,2220
612,2435
613,1970
614,2425
621,3001
622,3820
623,4779
624,3778
631,2177
632,4917
633,1307
634,2124
711,1971
712,1643
713,1668
714,1291
715,1180
722,1808
723,1563
724,1196
725,2053
726,1088
731,1913
732,1175
733,1491
734,1587
735,2340
811,4557
812,2435
813,7623
814,3591
815,7273
821,4799
822,5160
823,4790
824,3666
825,2348
831,2957
832,2932
833,6324
834,5840
835,4592
911,4097
912,4512
913,2211
914,3893
915,2671
921,2704
922,3931
923,3108
924,3266
925,2225
931,1770
932,1343
933,1302
934,1050
935,1738
1011,2081
1012,1672
1013,3280
1014,1727
1021,1317
1022,2406
1023,2448
1024,1656
1031,3779
1032,1996
1033,2726
1034,4463
1111,3218
1112,2465
1113,3314
1114,1246
1115,1544
1121,2542
1122,3162
1123,1783
1124,1227
1125,750
1131,3214
1132,2126
1133,3326
1134,2027
1135,2094
1211,1611
1212,1987
1213,2833
1214,4558
1215,3033
1221,2906
1222,2296
1223,2597
1224,4052
1225,3355
1231,4759
1232,5416
1233,3452
1234,2833
1235,3871
1411,3189
1412,2078
1413,1556
1414,2181
1421,1652
1422,1743
1423,1579
1424,2434
1431,1995
1432,4291
1433,3651
1434,2647
1511,1961
1512,1811
1513,3003
1522,3525
1523,1961
1524,2097
1531,2330
1532,2339
1533,4162
1611,3630
1612,2385
1613,2478
1614,2525
1621,3338
1622,5018
1623,5061
1624,3588
1631,3292
1632,3696
1633,3897
1634,2955
1651,1223
1654,720
1711,4061
1712,4587
1713,1892
1722,4189
1723,3722
1724,2465
1731,3722
1732,4062
1733,4133
1811,2365
1812,1553
1813,1345
1814,3597
1821,2187
1822,3084
1823,1310
1824,4303
1831,7200
1832,3872
1833,4997
1834,9338
1911,3110
1912,2675
1913,1077
1914,2219
1915,2129
1921,2972
1922,3139
1923,1969
1924,2058
1925,3744
1931,3035
1932,2160
1933,1616
1934,2811
1935,3323
2011,3699
2012,2806
2013,2531
2022,2235
2023,1177
2024,1367
2031,1742
2032,1508
2033,1360
2211,4575
2212,4160
2213,3321
2221,3232
2222,1897
2223,3610
2232,2617
2233,1670
2234,2711
2411,4816
2412,3600
2413,5739
2422,1456
2423,1451
2424,2209
2431,958
2432,3220
2433,3582
2511,2703
2512,5612
2513,1973
2514,3467
2515,4008
2521,4480
2522,3221
2523,2692
2524,2422
2525,1694
2531,2094
2532,2173
2533,5429
2534,3242
2535,2416
