YEAR,WEATHER_CONDITION,PRIM_CONTRIBUTORY_CAUSE,COUNT
2013,CLEAR,IMPROPER LANE USAGE,1
2013,CLEAR,UNABLE TO DETERMINE,1
2014,CLEAR,FAILING TO YIELD RIGHT-OF-WAY,1
2014,CLEAR,UNABLE TO DETERMINE,2
2014,RAIN,IMPROPER OVERTAKING/PASSING,1
2014,RAIN,UNABLE TO DETERMINE,1
2014,UNKNOWN,UNABLE TO DETERMINE,1
2015,CLEAR,ANIMAL,4
2015,CLEAR,BICYCLE ADVANCING LEGALLY ON RED LIGHT,1
2015,CLEAR,CELL PHONE USE OTHER THAN TEXTING,12
2015,CLEAR,DISREGARDING OTHER TRAFFIC SIGNS,12
2015,CLEAR,DISREGARDING ROAD MARKINGS,6
2015,CLEAR,DISREGARDING STOP SIGN,55
2015,CLEAR,DISREGARDING TRAFFIC SIGNALS,71
2015,CLEAR,DISREGARDING YIELD SIGN,2
2015,CLEAR,DISTRACTION - FROM INSIDE VEHICLE,55
2015,CLEAR,DISTRACTION - FROM OUTSIDE VEHICLE,25
2015,CLEAR,"DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",3
2015,CLEAR,DRIVING ON WRONG SIDE/WRONG WAY,21
2015,CLEAR,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,245
2015,CLEAR,EQUIPMENT - VEHICLE CONDITION,14
2015,CLEAR,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",12
2015,CLEAR,EXCEEDING AUTHORIZED SPEED LIMIT,22
2015,CLEAR,EXCEEDING SAFE SPEED FOR CONDITIONS,13
2015,CLEAR,FAILING TO REDUCE SPEED TO AVOID CRASH,193
2015,CLEAR,FAILING TO YIELD RIGHT-OF-WAY,776
2015,CLEAR,FOLLOWING TOO CLOSELY,1084
2015,CLEAR,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),11
2015,CLEAR,IMPROPER BACKING,462
2015,CLEAR,IMPROPER LANE USAGE,379
2015,CLEAR,IMPROPER OVERTAKING/PASSING,412
2015,CLEAR,IMPROPER TURNING/NO SIGNAL,308
2015,CLEAR,NOT APPLICABLE,402
2015,CLEAR,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",70
2015,CLEAR,PHYSICAL CONDITION OF DRIVER,14
2015,CLEAR,ROAD CONSTRUCTION/MAINTENANCE,22
2015,CLEAR,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,27
2015,CLEAR,TEXTING,3
2015,CLEAR,TURNING RIGHT ON RED,7
2015,CLEAR,UNABLE TO DETERMINE,2624
2015,CLEAR,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),11
2015,CLEAR,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",27
2015,CLEAR,WEATHER,15
2015,CLOUDY/OVERCAST,DISREGARDING ROAD MARKINGS,1
2015,CLOUDY/OVERCAST,DISREGARDING STOP SIGN,1
2015,CLOUDY/OVERCAST,DISREGARDING TRAFFIC SIGNALS,2
2015,CLOUDY/OVERCAST,DISTRACTION - FROM INSIDE VEHICLE,3
2015,CLOUDY/OVERCAST,DRIVING ON WRONG SIDE/WRONG WAY,1
2015,CLOUDY/OVERCAST,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,12
2015,CLOUDY/OVERCAST,EQUIPMENT - VEHICLE CONDITION,3
2015,CLOUDY/OVERCAST,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",1
