DAMAGE,YEAR,INJURIES_TOTAL
$500 OR LESS,2015,1251
$500 OR LESS,2016,5466
$500 OR LESS,2017,11037
$500 OR LESS,2018,16769
$500 OR LESS,2019,15474
$500 OR LESS,2020,10177
$500 OR LESS,2021,10173
$500 OR LESS,2022,9791
$500 OR LESS,2023,8060
"$501 - $1,500",2013,1
"$501 - $1,500",2014,3
"$501 - $1,500",2015,3685
"$501 - $1,500",2016,15645
"$501 - $1,500",2017,25842
"$501 - $1,500",2018,33542
"$501 - $1,500",2019,33720
"$501 - $1,500",2020,23847
"$501 - $1,500",2021,26361
"$501 - $1,500",2022,24816
"$501 - $1,500",2023,18450
"OVER $1,500",2013,1
"OVER $1,500",2014,3
"OVER $1,500",2015,4828
"OVER $1,500",2016,22923
"OVER $1,500",2017,46442
"OVER $1,500",2018,67933
"OVER $1,500",2019,67388
"OVER $1,500",2020,57244
"OVER $1,500",2021,71150
"OVER $1,500",2022,72549
"OVER $1,500",2023,59711
