ROAD_DEFECT,DEVICE_CONDITION,YEAR,INJURIES_FATAL
DEBRIS ON ROADWAY,FUNCTIONING IMPROPERLY,2016,1
DEBRIS ON ROADWAY,FUNCTIONING IMPROPERLY,2018,1
DEBRIS ON ROADWAY,FUNCTIONING IMPROPERLY,2019,1
DEBRIS ON ROADWAY,FUNCTIONING PROPERLY,2015,4
DEBRIS ON ROADWAY,FUNCTIONING PROPERLY,2016,10
DEBRIS ON ROADWAY,FUNCTIONING PROPERLY,2017,24
DEBRIS ON ROADWAY,FUNCTIONING PROPERLY,2018,38
DEBRIS ON ROADWAY,FUNCTIONING PROPERLY,2019,26
DEBRIS ON ROADWAY,FUNCTIONING PROPERLY,2020,21
DEBRIS ON ROADWAY,FUNCTIONING PROPERLY,2021,21
DEBRIS ON ROADWAY,FUNCTIONING PROPERLY,2022,17
DEBRIS ON ROADWAY,FUNCTIONING PROPERLY,2023,14
DEBRIS ON ROADWAY,MISSING,2018,1
DEBRIS ON ROADWAY,NO CONTROLS,2015,5
DEBRIS ON ROADWAY,NO CONTROLS,2016,23
DEBRIS ON ROADWAY,NO CONTROLS,2017,44
DEBRIS ON ROADWAY,NO CONTROLS,2018,66
DEBRIS ON ROADWAY,NO CONTROLS,2019,63
DEBRIS ON ROADWAY,NO CONTROLS,2020,48
DEBRIS ON ROADWAY,NO CONTROLS,2021,45
DEBRIS ON ROADWAY,NO CONTROLS,2022,36
DEBRIS ON ROADWAY,NO CONTROLS,2023,35
DEBRIS ON ROADWAY,NOT FUNCTIONING,2015,1
DEBRIS ON ROADWAY,OTHER,2016,2
DEBRIS ON ROADWAY,OTHER,2017,1
DEBRIS ON ROADWAY,OTHER,2018,3
DEBRIS ON ROADWAY,OTHER,2021,1
DEBRIS ON ROADWAY,OTHER,2023,3
DEBRIS ON ROADWAY,UNKNOWN,2016,1
DEBRIS ON ROADWAY,UNKNOWN,2017,4
DEBRIS ON ROADWAY,UNKNOWN,2018,7
DEBRIS ON ROADWAY,UNKNOWN,2019,5
DEBRIS ON ROADWAY,UNKNOWN,2021,2
DEBRIS ON ROADWAY,UNKNOWN,2022,6
DEBRIS ON ROADWAY,UNKNOWN,2023,4
DEBRIS ON ROADWAY,WORN REFLECTIVE MATERIAL,2018,1
DEBRIS ON ROADWAY,WORN REFLECTIVE MATERIAL,2019,1
NO DEFECTS,FUNCTIONING IMPROPERLY,2015,76
NO DEFECTS,FUNCTIONING IMPROPERLY,2016,287
NO DEFECTS,FUNCTIONING IMPROPERLY,2017,451
NO DEFECTS,FUNCTIONING IMPROPERLY,2018,578
NO DEFECTS,FUNCTIONING IMPROPERLY,2019,492
NO DEFECTS,FUNCTIONING IMPROPERLY,2020,332
NO DEFECTS,FUNCTIONING IMPROPERLY,2021,329
NO DEFECTS,FUNCTIONING IMPROPERLY,2022,330
NO DEFECTS,FUNCTIONING IMPROPERLY,2023,272
NO DEFECTS,FUNCTIONING PROPERLY,2013,1
NO DEFECTS,FUNCTIONING PROPERLY,2014,1
NO DEFECTS,FUNCTIONING PROPERLY,2015,2887
NO DEFECTS,FUNCTIONING PROPERLY,2016,12386
NO DEFECTS,FUNCTIONING PROPERLY,2017,25785
NO DEFECTS,FUNCTIONING PROPERLY,2018,36969
NO DEFECTS,FUNCTIONING PROPERLY,2019,35874
NO DEFECTS,FUNCTIONING PROPERLY,2020,28005
NO DEFECTS,FUNCTIONING PROPERLY,2021,31186
NO DEFECTS,FUNCTIONING PROPERLY,2022,30264
NO DEFECTS,FUNCTIONING PROPERLY,2023,23476
NO DEFECTS,MISSING,2016,6
NO DEFECTS,MISSING,2017,7
NO DEFECTS,MISSING,2018,14
NO DEFECTS,MISSING,2019,10
NO DEFECTS,MISSING,2020,6
NO DEFECTS,MISSING,2021,6
NO DEFECTS,MISSING,2022,7
NO DEFECTS,MISSING,2023,7
NO DEFECTS,NO CONTROLS,2013,1
NO DEFECTS,NO CONTROLS,2014,4
NO DEFECTS,NO CONTROLS,2015,4580
NO DEFECTS,NO CONTROLS,2016,21742
NO DEFECTS,NO CONTROLS,2017,42245
NO DEFECTS,NO CONTROLS,2018,59155
NO DEFECTS,NO CONTROLS,2019,57188
