CRASH_HOUR,INJURIES_TOTAL,WEATHER_CONDITION,COUNT
0,0.0,BLOWING SNOW,7
0,0.0,CLEAR,10174
0,0.0,CLOUDY/OVERCAST,113
0,0.0,FOG/SMOKE/HAZE,35
0,0.0,FREEZING RAIN/DRIZZLE,33
0,0.0,OTHER,79
0,0.0,RAIN,1293
0,0.0,SEVERE CROSS WIND GATE,1
0,0.0,SLEET/HAIL,18
0,0.0,SNOW,556
0,0.0,UNKNOWN,1424
0,1.0,BLOWING SNOW,2
0,1.0,CLEAR,1574
0,1.0,CLOUDY/OVERCAST,15
0,1.0,FOG/SMOKE/HAZE,5
0,1.0,FREEZING RAIN/DRIZZLE,4
0,1.0,OTHER,12
0,1.0,RAIN,216
0,1.0,SLEET/HAIL,6
0,1.0,SNOW,73
0,1.0,UNKNOWN,36
0,2.0,CLEAR,444
0,2.0,CLOUDY/OVERCAST,6
0,2.0,FOG/SMOKE/HAZE,1
0,2.0,FREEZING RAIN/DRIZZLE,1
0,2.0,OTHER,2
0,2.0,RAIN,61
0,2.0,SNOW,16
0,2.0,UNKNOWN,4
0,3.0,BLOWING SNOW,1
0,3.0,CLEAR,157
0,3.0,CLOUDY/OVERCAST,2
0,3.0,OTHER,2
0,3.0,RAIN,22
0,3.0,SNOW,5
0,3.0,UNKNOWN,2
0,4.0,CLEAR,64
0,4.0,OTHER,1
0,4.0,RAIN,4
0,4.0,SEVERE CROSS WIND GATE,1
0,4.0,SLEET/HAIL,1
0,4.0,SNOW,1
0,4.0,UNKNOWN,1
0,5.0,CLEAR,17
0,5.0,OTHER,1
0,5.0,RAIN,3
0,6.0,CLEAR,11
0,6.0,SNOW,1
0,7.0,CLEAR,4
0,8.0,CLEAR,2
1,0.0,BLOWING SNOW,7
1,0.0,CLEAR,8837
1,0.0,CLOUDY/OVERCAST,117
1,0.0,FOG/SMOKE/HAZE,28
1,0.0,FREEZING RAIN/DRIZZLE,27
1,0.0,OTHER,57
1,0.0,RAIN,1193
1,0.0,SEVERE CROSS WIND GATE,4
1,0.0,SLEET/HAIL,17
1,0.0,SNOW,452
1,0.0,UNKNOWN,1029
1,1.0,BLOWING SNOW,1
1,1.0,CLEAR,1309
1,1.0,CLOUDY/OVERCAST,14
1,1.0,FOG/SMOKE/HAZE,3
1,1.0,FREEZING RAIN/DRIZZLE,12
1,1.0,OTHER,9
1,1.0,RAIN,217
1,1.0,SLEET/HAIL,1
1,1.0,SNOW,39
1,1.0,UNKNOWN,44
1,2.0,CLEAR,375
1,2.0,CLOUDY/OVERCAST,4
1,2.0,FOG/SMOKE/HAZE,3
1,2.0,OTHER,2
1,2.0,RAIN,55
1,2.0,SLEET/HAIL,2
1,2.0,SNOW,10
1,2.0,UNKNOWN,5
1,3.0,CLEAR,113
1,3.0,CLOUDY/OVERCAST,2
1,3.0,FREEZING RAIN/DRIZZLE,1
1,3.0,OTHER,2
1,3.0,RAIN,19
1,3.0,SNOW,3
1,3.0,UNKNOWN,3
1,4.0,CLEAR,43
1,4.0,RAIN,6
1,5.0,CLEAR,14
1,5.0,RAIN,2
1,5.0,SNOW,1
1,6.0,CLEAR,13
1,6.0,RAIN,2
1,7.0,CLEAR,4
1,8.0,CLEAR,1
2,0.0,BLOWING SNOW,7
2,0.0,CLEAR,7523
2,0.0,CLOUDY/OVERCAST,80
2,0.0,FOG/SMOKE/HAZE,32
2,0.0,FREEZING RAIN/DRIZZLE,30
2,0.0,OTHER,53
2,0.0,RAIN,1038
2,0.0,SEVERE CROSS WIND GATE,3
2,0.0,SLEET/HAIL,17
2,0.0,SNOW,402
2,0.0,UNKNOWN,832
2,1.0,CLEAR,1133
2,1.0,CLOUDY/OVERCAST,16
2,1.0,FOG/SMOKE/HAZE,4
2,1.0,FREEZING RAIN/DRIZZLE,5
2,1.0,OTHER,5
2,1.0,RAIN,162
2,1.0,SLEET/HAIL,3
2,1.0,SNOW,55
2,1.0,UNKNOWN,38
2,2.0,"BLOWING SAND, SOIL, DIRT",1
2,2.0,CLEAR,320
2,2.0,CLOUDY/OVERCAST,3
2,2.0,FOG/SMOKE/HAZE,3
2,2.0,FREEZING RAIN/DRIZZLE,4
2,2.0,OTHER,3
2,2.0,RAIN,44
2,2.0,SLEET/HAIL,2
2,2.0,SNOW,10
2,2.0,UNKNOWN,5
2,3.0,CLEAR,142
2,3.0,CLOUDY/OVERCAST,1
2,3.0,FOG/SMOKE/HAZE,1
2,3.0,RAIN,18
2,3.0,SNOW,4
2,3.0,UNKNOWN,5
2,4.0,CLEAR,56
2,4.0,CLOUDY/OVERCAST,1
2,4.0,FREEZING RAIN/DRIZZLE,1
2,4.0,OTHER,1
2,4.0,RAIN,5
2,4.0,SNOW,1
2,4.0,UNKNOWN,1
2,5.0,CLEAR,13
2,5.0,FREEZING RAIN/DRIZZLE,1
2,5.0,RAIN,3
2,5.0,SLEET/HAIL,1
2,6.0,CLEAR,7
2,6.0,RAIN,2
2,6.0,SNOW,1
2,7.0,CLEAR,4
2,8.0,CLEAR,3
2,15.0,CLEAR,1
3,0.0,BLOWING SNOW,8
3,0.0,CLEAR,6087
3,0.0,CLOUDY/OVERCAST,79
3,0.0,FOG/SMOKE/HAZE,32
3,0.0,FREEZING RAIN/DRIZZLE,29
3,0.0,OTHER,31
3,0.0,RAIN,841
3,0.0,SLEET/HAIL,15
3,0.0,SNOW,351
3,0.0,UNKNOWN,684
3,1.0,CLEAR,941
3,1.0,CLOUDY/OVERCAST,10
3,1.0,FOG/SMOKE/HAZE,7
3,1.0,FREEZING RAIN/DRIZZLE,7
3,1.0,OTHER,10
3,1.0,RAIN,121
3,1.0,SLEET/HAIL,7
3,1.0,SNOW,48
3,1.0,UNKNOWN,29
3,2.0,CLEAR,251
3,2.0,FREEZING RAIN/DRIZZLE,1
3,2.0,OTHER,1
3,2.0,RAIN,43
3,2.0,SNOW,9
3,2.0,UNKNOWN,4
3,3.0,CLEAR,79
3,3.0,CLOUDY/OVERCAST,1
3,3.0,OTHER,2
3,3.0,RAIN,13
3,3.0,SNOW,2
3,3.0,UNKNOWN,1
3,4.0,CLEAR,37
3,4.0,CLOUDY/OVERCAST,1
3,4.0,RAIN,5
3,4.0,SNOW,1
3,4.0,UNKNOWN,1
3,5.0,CLEAR,15
3,5.0,RAIN,3
3,6.0,CLEAR,5
3,7.0,CLEAR,2
3,8.0,CLEAR,2
4,0.0,BLOWING SNOW,2
4,0.0,CLEAR,5415
4,0.0,CLOUDY/OVERCAST,71
4,0.0,FOG/SMOKE/HAZE,29
4,0.0,FREEZING RAIN/DRIZZLE,19
4,0.0,OTHER,41
4,0.0,RAIN,790
4,0.0,SLEET/HAIL,13
4,0.0,SNOW,345
4,0.0,UNKNOWN,555
4,1.0,BLOWING SNOW,1
4,1.0,CLEAR,866
4,1.0,CLOUDY/OVERCAST,11
4,1.0,FOG/SMOKE/HAZE,7
4,1.0,FREEZING RAIN/DRIZZLE,5
4,1.0,OTHER,8
4,1.0,RAIN,129
4,1.0,SNOW,31
4,1.0,UNKNOWN,35
4,2.0,BLOWING SNOW,1
4,2.0,CLEAR,241
4,2.0,CLOUDY/OVERCAST,3
4,2.0,FOG/SMOKE/HAZE,4
4,2.0,FREEZING RAIN/DRIZZLE,3
4,2.0,RAIN,20
4,2.0,SNOW,11
4,2.0,UNKNOWN,5
4,3.0,CLEAR,50
4,3.0,CLOUDY/OVERCAST,1
4,3.0,FOG/SMOKE/HAZE,2
4,3.0,RAIN,12
4,3.0,SNOW,2
4,4.0,CLEAR,21
4,4.0,FOG/SMOKE/HAZE,1
4,4.0,RAIN,2
4,4.0,UNKNOWN,2
4,5.0,CLEAR,5
4,5.0,RAIN,1
4,6.0,CLEAR,3
4,6.0,SNOW,1
4,9.0,CLEAR,1
5,0.0,BLOWING SNOW,7
5,0.0,CLEAR,6461
5,0.0,CLOUDY/OVERCAST,168
5,0.0,FOG/SMOKE/HAZE,29
5,0.0,FREEZING RAIN/DRIZZLE,27
5,0.0,OTHER,36
5,0.0,RAIN,901
5,0.0,SEVERE CROSS WIND GATE,3
5,0.0,SLEET/HAIL,18
5,0.0,SNOW,436
5,0.0,UNKNOWN,677
5,1.0,BLOWING SNOW,3
5,1.0,CLEAR,921
5,1.0,CLOUDY/OVERCAST,31
5,1.0,FOG/SMOKE/HAZE,7
5,1.0,FREEZING RAIN/DRIZZLE,5
5,1.0,OTHER,8
5,1.0,RAIN,171
5,1.0,SLEET/HAIL,3
5,1.0,SNOW,51
5,1.0,UNKNOWN,30
5,2.0,CLEAR,203
5,2.0,CLOUDY/OVERCAST,6
5,2.0,FOG/SMOKE/HAZE,2
5,2.0,OTHER,4
5,2.0,RAIN,33
5,2.0,SLEET/HAIL,1
5,2.0,SNOW,7
5,2.0,UNKNOWN,3
5,3.0,CLEAR,55
5,3.0,CLOUDY/OVERCAST,4
5,3.0,FOG/SMOKE/HAZE,1
5,3.0,RAIN,6
5,3.0,SNOW,7
5,3.0,UNKNOWN,1
5,4.0,CLEAR,21
5,4.0,CLOUDY/OVERCAST,2
5,4.0,RAIN,1
5,4.0,SNOW,2
5,5.0,CLEAR,4
5,6.0,CLEAR,2
5,7.0,CLEAR,1
5,10.0,CLEAR,1
5,12.0,CLEAR,1
5,14.0,CLEAR,1
5,21.0,RAIN,1
6,0.0,BLOWING SNOW,9
6,0.0,CLEAR,10289
6,0.0,CLOUDY/OVERCAST,551
6,0.0,FOG/SMOKE/HAZE,58
6,0.0,FREEZING RAIN/DRIZZLE,26
6,0.0,OTHER,73
6,0.0,RAIN,1402
6,0.0,SEVERE CROSS WIND GATE,2
6,0.0,SLEET/HAIL,26
6,0.0,SNOW,648
6,0.0,UNKNOWN,991
6,1.0,BLOWING SNOW,3
6,1.0,CLEAR,1360
6,1.0,CLOUDY/OVERCAST,95
6,1.0,FOG/SMOKE/HAZE,4
6,1.0,FREEZING RAIN/DRIZZLE,4
6,1.0,OTHER,14
6,1.0,RAIN,256
6,1.0,SLEET/HAIL,6
6,1.0,SNOW,70
6,1.0,UNKNOWN,34
6,2.0,CLEAR,298
6,2.0,CLOUDY/OVERCAST,14
6,2.0,FOG/SMOKE/HAZE,6
6,2.0,FREEZING RAIN/DRIZZLE,1
6,2.0,OTHER,2
6,2.0,RAIN,39
6,2.0,SNOW,14
6,2.0,UNKNOWN,2
6,3.0,CLEAR,72
6,3.0,CLOUDY/OVERCAST,6
6,3.0,FOG/SMOKE/HAZE,2
6,3.0,RAIN,10
6,3.0,SLEET/HAIL,1
6,3.0,SNOW,1
6,3.0,UNKNOWN,1
6,4.0,CLEAR,28
6,4.0,CLOUDY/OVERCAST,2
6,4.0,RAIN,6
6,4.0,SNOW,1
6,5.0,CLEAR,3
6,5.0,OTHER,1
6,5.0,RAIN,2
6,6.0,CLEAR,2
6,7.0,CLEAR,4
6,7.0,RAIN,2
6,10.0,BLOWING SNOW,1
6,10.0,RAIN,1
6,21.0,CLEAR,1
7,0.0,BLOWING SNOW,15
7,0.0,CLEAR,20997
7,0.0,CLOUDY/OVERCAST,1309
7,0.0,FOG/SMOKE/HAZE,71
7,0.0,FREEZING RAIN/DRIZZLE,47
7,0.0,OTHER,108
7,0.0,RAIN,2467
7,0.0,SEVERE CROSS WIND GATE,5
7,0.0,SLEET/HAIL,33
7,0.0,SNOW,1307
7,0.0,UNKNOWN,1543
7,1.0,CLEAR,2525
7,1.0,CLOUDY/OVERCAST,200
7,1.0,FOG/SMOKE/HAZE,8
7,1.0,FREEZING RAIN/DRIZZLE,4
7,1.0,OTHER,11
7,1.0,RAIN,398
7,1.0,SLEET/HAIL,8
7,1.0,SNOW,122
7,1.0,UNKNOWN,39
7,2.0,CLEAR,473
7,2.0,CLOUDY/OVERCAST,35
7,2.0,FOG/SMOKE/HAZE,1
7,2.0,FREEZING RAIN/DRIZZLE,2
7,2.0,OTHER,3
7,2.0,RAIN,74
7,2.0,SLEET/HAIL,4
7,2.0,SNOW,20
7,2.0,UNKNOWN,7
7,3.0,CLEAR,125
7,3.0,CLOUDY/OVERCAST,12
7,3.0,FOG/SMOKE/HAZE,1
7,3.0,RAIN,24
7,3.0,SNOW,7
7,3.0,UNKNOWN,1
7,4.0,CLEAR,45
7,4.0,CLOUDY/OVERCAST,5
7,4.0,OTHER,2
7,4.0,RAIN,11
7,4.0,SNOW,2
7,5.0,CLEAR,17
7,5.0,CLOUDY/OVERCAST,1
7,5.0,RAIN,2
7,5.0,SNOW,4
7,6.0,CLEAR,8
7,6.0,RAIN,1
7,6.0,UNKNOWN,1
7,8.0,CLEAR,1
7,9.0,CLEAR,1
7,10.0,UNKNOWN,1
8,0.0,BLOWING SNOW,13
8,0.0,CLEAR,26735
8,0.0,CLOUDY/OVERCAST,1732
8,0.0,FOG/SMOKE/HAZE,69
8,0.0,FREEZING RAIN/DRIZZLE,67
8,0.0,OTHER,133
8,0.0,RAIN,2957
8,0.0,SEVERE CROSS WIND GATE,7
8,0.0,SLEET/HAIL,62
8,0.0,SNOW,1643
8,0.0,UNKNOWN,1767
8,1.0,BLOWING SNOW,2
8,1.0,CLEAR,3060
8,1.0,CLOUDY/OVERCAST,212
8,1.0,FOG/SMOKE/HAZE,10
8,1.0,FREEZING RAIN/DRIZZLE,7
8,1.0,OTHER,18
8,1.0,RAIN,392
8,1.0,SEVERE CROSS WIND GATE,2
8,1.0,SLEET/HAIL,10
8,1.0,SNOW,151
8,1.0,UNKNOWN,50
8,2.0,CLEAR,630
8,2.0,CLOUDY/OVERCAST,42
8,2.0,FOG/SMOKE/HAZE,2
8,2.0,FREEZING RAIN/DRIZZLE,2
8,2.0,OTHER,8
8,2.0,RAIN,94
8,2.0,SLEET/HAIL,5
8,2.0,SNOW,27
8,2.0,UNKNOWN,7
8,3.0,CLEAR,158
8,3.0,CLOUDY/OVERCAST,12
8,3.0,FOG/SMOKE/HAZE,1
8,3.0,FREEZING RAIN/DRIZZLE,1
8,3.0,OTHER,2
8,3.0,RAIN,31
8,3.0,SNOW,5
8,3.0,UNKNOWN,2
8,4.0,CLEAR,45
8,4.0,CLOUDY/OVERCAST,2
8,4.0,RAIN,8
8,4.0,SNOW,1
8,5.0,CLEAR,21
8,5.0,CLOUDY/OVERCAST,1
8,5.0,RAIN,6
8,5.0,SNOW,1
8,5.0,UNKNOWN,1
8,6.0,CLEAR,8
8,6.0,CLOUDY/OVERCAST,2
8,6.0,RAIN,1
8,7.0,CLEAR,2
8,7.0,RAIN,1
8,8.0,CLEAR,3
8,9.0,CLEAR,1
9,0.0,BLOWING SNOW,17
9,0.0,CLEAR,23576
9,0.0,CLOUDY/OVERCAST,1482
9,0.0,FOG/SMOKE/HAZE,58
9,0.0,FREEZING RAIN/DRIZZLE,42
9,0.0,OTHER,82
9,0.0,RAIN,2582
9,0.0,SEVERE CROSS WIND GATE,5
9,0.0,SLEET/HAIL,34
9,0.0,SNOW,1207
9,0.0,UNKNOWN,1622
9,1.0,CLEAR,2638
9,1.0,CLOUDY/OVERCAST,186
9,1.0,FOG/SMOKE/HAZE,7
9,1.0,FREEZING RAIN/DRIZZLE,13
9,1.0,OTHER,11
9,1.0,RAIN,373
9,1.0,SLEET/HAIL,4
9,1.0,SNOW,123
9,1.0,UNKNOWN,28
9,2.0,CLEAR,534
9,2.0,CLOUDY/OVERCAST,36
9,2.0,FOG/SMOKE/HAZE,2
9,2.0,FREEZING RAIN/DRIZZLE,3
9,2.0,OTHER,6
9,2.0,RAIN,81
9,2.0,SNOW,29
9,2.0,UNKNOWN,2
9,3.0,CLEAR,136
9,3.0,CLOUDY/OVERCAST,13
9,3.0,FOG/SMOKE/HAZE,1
9,3.0,OTHER,2
9,3.0,RAIN,19
9,3.0,SNOW,6
9,4.0,CLEAR,46
9,4.0,CLOUDY/OVERCAST,6
9,4.0,RAIN,5
9,4.0,SNOW,3
9,5.0,CLEAR,13
9,5.0,RAIN,1
9,5.0,SNOW,1
9,6.0,CLEAR,4
9,6.0,RAIN,1
9,7.0,CLEAR,4
9,7.0,RAIN,1
9,8.0,CLEAR,1
9,9.0,CLEAR,1
9,12.0,CLEAR,1
9,19.0,CLEAR,1
9,21.0,CLEAR,2
10,0.0,"BLOWING SAND, SOIL, DIRT",1
10,0.0,BLOWING SNOW,13
10,0.0,CLEAR,24032
10,0.0,CLOUDY/OVERCAST,1433
10,0.0,FOG/SMOKE/HAZE,33
10,0.0,FREEZING RAIN/DRIZZLE,47
10,0.0,OTHER,90
10,0.0,RAIN,2300
10,0.0,SEVERE CROSS WIND GATE,2
10,0.0,SLEET/HAIL,27
10,0.0,SNOW,1062
10,0.0,UNKNOWN,1493
10,1.0,CLEAR,2566
10,1.0,CLOUDY/OVERCAST,190
10,1.0,FOG/SMOKE/HAZE,7
10,1.0,FREEZING RAIN/DRIZZLE,4
10,1.0,OTHER,13
10,1.0,RAIN,321
10,1.0,SEVERE CROSS WIND GATE,1
10,1.0,SLEET/HAIL,3
10,1.0,SNOW,86
10,1.0,UNKNOWN,39
10,2.0,CLEAR,567
10,2.0,CLOUDY/OVERCAST,39
10,2.0,FOG/SMOKE/HAZE,4
10,2.0,FREEZING RAIN/DRIZZLE,1
10,2.0,OTHER,1
10,2.0,RAIN,73
10,2.0,SNOW,24
10,2.0,UNKNOWN,7
10,3.0,CLEAR,157
10,3.0,CLOUDY/OVERCAST,10
10,3.0,OTHER,1
10,3.0,RAIN,24
10,3.0,SNOW,3
10,4.0,CLEAR,41
10,4.0,CLOUDY/OVERCAST,5
10,4.0,FOG/SMOKE/HAZE,1
10,4.0,OTHER,2
10,4.0,RAIN,4
10,4.0,SNOW,2
10,5.0,CLEAR,18
10,5.0,CLOUDY/OVERCAST,2
10,5.0,RAIN,3
10,6.0,CLEAR,6
10,6.0,RAIN,1
10,7.0,CLEAR,2
10,8.0,CLEAR,1
10,11.0,CLEAR,1
10,15.0,CLEAR,1
11,0.0,BLOWING SNOW,10
11,0.0,CLEAR,27259
11,0.0,CLOUDY/OVERCAST,1466
11,0.0,FOG/SMOKE/HAZE,30
11,0.0,FREEZING RAIN/DRIZZLE,46
11,0.0,OTHER,72
11,0.0,RAIN,2501
11,0.0,SEVERE CROSS WIND GATE,5
11,0.0,SLEET/HAIL,38
11,0.0,SNOW,1096
11,0.0,UNKNOWN,1480
11,1.0,BLOWING SNOW,2
11,1.0,CLEAR,2932
11,1.0,CLOUDY/OVERCAST,203
11,1.0,FOG/SMOKE/HAZE,4
11,1.0,FREEZING RAIN/DRIZZLE,6
11,1.0,OTHER,8
11,1.0,RAIN,338
11,1.0,SLEET/HAIL,3
11,1.0,SNOW,100
11,1.0,UNKNOWN,52
11,2.0,CLEAR,683
11,2.0,CLOUDY/OVERCAST,37
11,2.0,FOG/SMOKE/HAZE,1
11,2.0,FREEZING RAIN/DRIZZLE,2
11,2.0,OTHER,2
11,2.0,RAIN,82
11,2.0,SNOW,18
11,2.0,UNKNOWN,1
11,3.0,BLOWING SNOW,1
11,3.0,CLEAR,200
11,3.0,CLOUDY/OVERCAST,7
11,3.0,RAIN,25
11,3.0,SLEET/HAIL,1
11,3.0,SNOW,6
11,3.0,UNKNOWN,2
11,4.0,CLEAR,74
11,4.0,CLOUDY/OVERCAST,3
11,4.0,RAIN,9
11,4.0,SNOW,2
11,5.0,CLEAR,18
11,5.0,CLOUDY/OVERCAST,3
11,5.0,RAIN,3
11,5.0,SNOW,1
11,6.0,CLEAR,4
11,6.0,SNOW,1
11,7.0,CLEAR,3
11,8.0,CLEAR,4
11,11.0,CLEAR,1
12,0.0,"BLOWING SAND, SOIL, DIRT",1
12,0.0,BLOWING SNOW,17
12,0.0,CLEAR,31874
12,0.0,CLOUDY/OVERCAST,1487
12,0.0,FOG/SMOKE/HAZE,28
12,0.0,FREEZING RAIN/DRIZZLE,70
12,0.0,OTHER,84
12,0.0,RAIN,2769
12,0.0,SEVERE CROSS WIND GATE,8
12,0.0,SLEET/HAIL,39
12,0.0,SNOW,1089
12,0.0,UNKNOWN,2258
12,1.0,BLOWING SNOW,3
12,1.0,CLEAR,3177
12,1.0,CLOUDY/OVERCAST,185
12,1.0,FOG/SMOKE/HAZE,2
12,1.0,FREEZING RAIN/DRIZZLE,6
12,1.0,OTHER,10
12,1.0,RAIN,374
12,1.0,SEVERE CROSS WIND GATE,1
12,1.0,SLEET/HAIL,10
12,1.0,SNOW,119
12,1.0,UNKNOWN,55
12,2.0,BLOWING SNOW,2
12,2.0,CLEAR,744
12,2.0,CLOUDY/OVERCAST,55
12,2.0,FOG/SMOKE/HAZE,1
12,2.0,FREEZING RAIN/DRIZZLE,1
12,2.0,OTHER,5
12,2.0,RAIN,101
12,2.0,SNOW,19
12,2.0,UNKNOWN,7
12,3.0,CLEAR,219
12,3.0,CLOUDY/OVERCAST,17
12,3.0,FOG/SMOKE/HAZE,1
12,3.0,RAIN,24
12,3.0,SLEET/HAIL,1
12,3.0,SNOW,5
12,3.0,UNKNOWN,3
12,4.0,CLEAR,81
12,4.0,CLOUDY/OVERCAST,4
