FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,YEAR,WEATHER_CONDITION,INJURIES_TOTAL
ANGLE,ALLEY,2015,CLEAR,19
ANGLE,ALLEY,2015,CLOUDY/OVERCAST,1
ANGLE,ALLEY,2015,RAIN,6
ANGLE,ALLEY,2015,UNKNOWN,2
ANGLE,ALLEY,2016,CLEAR,148
ANGLE,ALLEY,2016,CLOUDY/OVERCAST,5
ANGLE,ALLEY,2016,RAIN,6
ANGLE,ALLEY,2016,SNOW,8
ANGLE,ALLEY,2016,UNKNOWN,10
ANGLE,ALLEY,2017,CLEAR,223
ANGLE,ALLEY,2017,CLOUDY/OVERCAST,7
ANGLE,ALLEY,2017,OTHER,1
ANGLE,ALLEY,2017,RAIN,25
ANGLE,ALLEY,2017,SNOW,8
ANGLE,ALLEY,2017,UNKNOWN,7
ANGLE,ALLEY,2018,CLEAR,295
ANGLE,ALLEY,2018,CLOUDY/OVERCAST,25
ANGLE,ALLEY,2018,OTHER,1
ANGLE,ALLEY,2018,RAIN,29
ANGLE,ALLEY,2018,SNOW,19
ANGLE,ALLEY,2018,UNKNOWN,10
ANGLE,ALLEY,2019,CLEAR,231
ANGLE,ALLEY,2019,CLOUDY/OVERCAST,16
ANGLE,ALLEY,2019,FREEZING RAIN/DRIZZLE,1
ANGLE,ALLEY,2019,OTHER,3
ANGLE,ALLEY,2019,RAIN,25
ANGLE,ALLEY,2019,SLEET/HAIL,1
ANGLE,ALLEY,2019,SNOW,30
ANGLE,ALLEY,2019,UNKNOWN,11
ANGLE,ALLEY,2020,CLEAR,206
ANGLE,ALLEY,2020,CLOUDY/OVERCAST,10
ANGLE,ALLEY,2020,FREEZING RAIN/DRIZZLE,2
ANGLE,ALLEY,2020,OTHER,1
ANGLE,ALLEY,2020,RAIN,17
ANGLE,ALLEY,2020,SNOW,4
ANGLE,ALLEY,2020,UNKNOWN,7
ANGLE,ALLEY,2021,CLEAR,236
ANGLE,ALLEY,2021,CLOUDY/OVERCAST,11
