YEAR,PRIM_CONTRIBUTORY_CAUSE,COUNT
2013,IMPROPER LANE USAGE,1
2013,UNABLE TO DETERMINE,1
2014,FAILING TO YIELD RIGHT-OF-WAY,1
2014,IMPROPER OVERTAKING/PASSING,1
2014,UNABLE TO DETERMINE,4
2015,ANIMAL,6
2015,BICYCLE ADVANCING LEGALLY ON RED LIGHT,1
2015,CELL PHONE USE OTHER THAN TEXTING,14
2015,DISREGARDING OTHER TRAFFIC SIGNS,15
2015,DISREGARDING ROAD MARKINGS,8
2015,DISREGARDING STOP SIGN,64
2015,DISREGARDING TRAFFIC SIGNALS,85
2015,DISREGARDING YIELD SIGN,2
2015,DISTRACTION - FROM INSIDE VEHICLE,64
2015,DISTRACTION - FROM OUTSIDE VEHICLE,30
2015,"DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",3
2015,DRIVING ON WRONG SIDE/WRONG WAY,26
2015,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,305
2015,EQUIPMENT - VEHICLE CONDITION,24
2015,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",13
2015,EXCEEDING AUTHORIZED SPEED LIMIT,30
2015,EXCEEDING SAFE SPEED FOR CONDITIONS,44
2015,FAILING TO REDUCE SPEED TO AVOID CRASH,248
2015,FAILING TO YIELD RIGHT-OF-WAY,942
2015,FOLLOWING TOO CLOSELY,1351
2015,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),12
2015,IMPROPER BACKING,559
2015,IMPROPER LANE USAGE,453
2015,IMPROPER OVERTAKING/PASSING,511
2015,IMPROPER TURNING/NO SIGNAL,381
2015,NOT APPLICABLE,676
2015,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",85
2015,PHYSICAL CONDITION OF DRIVER,23
2015,ROAD CONSTRUCTION/MAINTENANCE,30
2015,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,33
2015,TEXTING,4
2015,TURNING RIGHT ON RED,8
2015,UNABLE TO DETERMINE,3523
2015,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),15
2015,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",32
2015,WEATHER,144
2016,ANIMAL,25
2016,BICYCLE ADVANCING LEGALLY ON RED LIGHT,8
2016,CELL PHONE USE OTHER THAN TEXTING,46
2016,DISREGARDING OTHER TRAFFIC SIGNS,63
2016,DISREGARDING ROAD MARKINGS,38
2016,DISREGARDING STOP SIGN,377
2016,DISREGARDING TRAFFIC SIGNALS,432
2016,DISREGARDING YIELD SIGN,11
2016,DISTRACTION - FROM INSIDE VEHICLE,293
2016,DISTRACTION - FROM OUTSIDE VEHICLE,157
2016,"DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",13
2016,DRIVING ON WRONG SIDE/WRONG WAY,138
2016,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,1734
2016,EQUIPMENT - VEHICLE CONDITION,121
2016,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",60
2016,EXCEEDING AUTHORIZED SPEED LIMIT,251
2016,EXCEEDING SAFE SPEED FOR CONDITIONS,174
2016,FAILING TO REDUCE SPEED TO AVOID CRASH,1214
2016,FAILING TO YIELD RIGHT-OF-WAY,4201
2016,FOLLOWING TOO CLOSELY,5676
2016,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),39
2016,IMPROPER BACKING,2349
2016,IMPROPER LANE USAGE,1860
2016,IMPROPER OVERTAKING/PASSING,2405
2016,IMPROPER TURNING/NO SIGNAL,1399
2016,MOTORCYCLE ADVANCING LEGALLY ON RED LIGHT,1
2016,NOT APPLICABLE,2462
2016,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",346
2016,PASSING STOPPED SCHOOL BUS,6
2016,PHYSICAL CONDITION OF DRIVER,142
2016,ROAD CONSTRUCTION/MAINTENANCE,106
2016,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,108
2016,TEXTING,14
2016,TURNING RIGHT ON RED,27
2016,UNABLE TO DETERMINE,16923
2016,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),75
2016,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",151
2016,WEATHER,589
2017,ANIMAL,70
2017,BICYCLE ADVANCING LEGALLY ON RED LIGHT,12
2017,CELL PHONE USE OTHER THAN TEXTING,127
2017,DISREGARDING OTHER TRAFFIC SIGNS,152
2017,DISREGARDING ROAD MARKINGS,130
2017,DISREGARDING STOP SIGN,870
2017,DISREGARDING TRAFFIC SIGNALS,1237
2017,DISREGARDING YIELD SIGN,30
2017,DISTRACTION - FROM INSIDE VEHICLE,630
2017,DISTRACTION - FROM OUTSIDE VEHICLE,353
2017,"DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",35
2017,DRIVING ON WRONG SIDE/WRONG WAY,344
2017,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,2517
2017,EQUIPMENT - VEHICLE CONDITION,457
2017,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",169
2017,EXCEEDING AUTHORIZED SPEED LIMIT,651
2017,EXCEEDING SAFE SPEED FOR CONDITIONS,472
2017,FAILING TO REDUCE SPEED TO AVOID CRASH,3139
2017,FAILING TO YIELD RIGHT-OF-WAY,9785
2017,FOLLOWING TOO CLOSELY,9912
2017,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),99
2017,IMPROPER BACKING,3708
2017,IMPROPER LANE USAGE,3403
2017,IMPROPER OVERTAKING/PASSING,3926
2017,IMPROPER TURNING/NO SIGNAL,2626
2017,MOTORCYCLE ADVANCING LEGALLY ON RED LIGHT,3
2017,NOT APPLICABLE,4032
2017,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",949
2017,PASSING STOPPED SCHOOL BUS,8
2017,PHYSICAL CONDITION OF DRIVER,443
2017,ROAD CONSTRUCTION/MAINTENANCE,207
2017,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,225
2017,TEXTING,47
2017,TURNING RIGHT ON RED,54
2017,UNABLE TO DETERMINE,30433
2017,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),359
2017,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",489
2017,WEATHER,1218
2018,ANIMAL,102
2018,BICYCLE ADVANCING LEGALLY ON RED LIGHT,29
2018,CELL PHONE USE OTHER THAN TEXTING,156
2018,DISREGARDING OTHER TRAFFIC SIGNS,273
2018,DISREGARDING ROAD MARKINGS,191
2018,DISREGARDING STOP SIGN,1301
2018,DISREGARDING TRAFFIC SIGNALS,2223
2018,DISREGARDING YIELD SIGN,46
2018,DISTRACTION - FROM INSIDE VEHICLE,860
2018,DISTRACTION - FROM OUTSIDE VEHICLE,573
2018,"DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",57
2018,DRIVING ON WRONG SIDE/WRONG WAY,547
2018,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,3616
2018,EQUIPMENT - VEHICLE CONDITION,748
2018,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",225
2018,EXCEEDING AUTHORIZED SPEED LIMIT,810
2018,EXCEEDING SAFE SPEED FOR CONDITIONS,707
2018,FAILING TO REDUCE SPEED TO AVOID CRASH,5047
2018,FAILING TO YIELD RIGHT-OF-WAY,14030
2018,FOLLOWING TOO CLOSELY,12615
2018,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),134
2018,IMPROPER BACKING,5282
2018,IMPROPER LANE USAGE,4962
2018,IMPROPER OVERTAKING/PASSING,5755
2018,IMPROPER TURNING/NO SIGNAL,4176
2018,MOTORCYCLE ADVANCING LEGALLY ON RED LIGHT,7
2018,NOT APPLICABLE,6280
2018,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",1570
2018,PASSING STOPPED SCHOOL BUS,19
2018,PHYSICAL CONDITION OF DRIVER,734
2018,ROAD CONSTRUCTION/MAINTENANCE,359
2018,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,364
2018,TEXTING,58
2018,TURNING RIGHT ON RED,76
2018,UNABLE TO DETERMINE,40901
2018,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),660
2018,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",777
2018,WEATHER,1974
2019,ANIMAL,108
2019,BICYCLE ADVANCING LEGALLY ON RED LIGHT,9
2019,CELL PHONE USE OTHER THAN TEXTING,181
2019,DISREGARDING OTHER TRAFFIC SIGNS,248
2019,DISREGARDING ROAD MARKINGS,171
2019,DISREGARDING STOP SIGN,1304
2019,DISREGARDING TRAFFIC SIGNALS,2057
2019,DISREGARDING YIELD SIGN,43
2019,DISTRACTION - FROM INSIDE VEHICLE,853
2019,DISTRACTION - FROM OUTSIDE VEHICLE,507
2019,"DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",66
2019,DRIVING ON WRONG SIDE/WRONG WAY,536
2019,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,3467
2019,EQUIPMENT - VEHICLE CONDITION,758
2019,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",197
2019,EXCEEDING AUTHORIZED SPEED LIMIT,214
2019,EXCEEDING SAFE SPEED FOR CONDITIONS,274
2019,FAILING TO REDUCE SPEED TO AVOID CRASH,5538
2019,FAILING TO YIELD RIGHT-OF-WAY,12840
2019,FOLLOWING TOO CLOSELY,12047
2019,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),117
2019,IMPROPER BACKING,5059
2019,IMPROPER LANE USAGE,4401
2019,IMPROPER OVERTAKING/PASSING,5554
2019,IMPROPER TURNING/NO SIGNAL,4078
2019,MOTORCYCLE ADVANCING LEGALLY ON RED LIGHT,6
2019,NOT APPLICABLE,6599
2019,OBSTRUCTED CROSSWALKS,18
2019,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",1405
2019,PASSING STOPPED SCHOOL BUS,21
2019,PHYSICAL CONDITION OF DRIVER,722
2019,RELATED TO BUS STOP,76
2019,ROAD CONSTRUCTION/MAINTENANCE,311
2019,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,456
2019,TEXTING,48
2019,TURNING RIGHT ON RED,80
2019,UNABLE TO DETERMINE,42707
2019,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),712
2019,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",726
2019,WEATHER,2068
2020,ANIMAL,91
2020,BICYCLE ADVANCING LEGALLY ON RED LIGHT,4
2020,CELL PHONE USE OTHER THAN TEXTING,134
2020,DISREGARDING OTHER TRAFFIC SIGNS,232
2020,DISREGARDING ROAD MARKINGS,98
2020,DISREGARDING STOP SIGN,1243
2020,DISREGARDING TRAFFIC SIGNALS,2322
2020,DISREGARDING YIELD SIGN,46
2020,DISTRACTION - FROM INSIDE VEHICLE,711
2020,DISTRACTION - FROM OUTSIDE VEHICLE,443
2020,"DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",52
2020,DRIVING ON WRONG SIDE/WRONG WAY,574
2020,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,2810
2020,EQUIPMENT - VEHICLE CONDITION,717
2020,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",191
2020,FAILING TO REDUCE SPEED TO AVOID CRASH,4777
2020,FAILING TO YIELD RIGHT-OF-WAY,9644
2020,FOLLOWING TOO CLOSELY,8161
2020,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),117
2020,IMPROPER BACKING,3458
2020,IMPROPER LANE USAGE,2996
2020,IMPROPER OVERTAKING/PASSING,3964
2020,IMPROPER TURNING/NO SIGNAL,2836
2020,MOTORCYCLE ADVANCING LEGALLY ON RED LIGHT,2
2020,NOT APPLICABLE,4737
2020,OBSTRUCTED CROSSWALKS,10
2020,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",1381
2020,PASSING STOPPED SCHOOL BUS,7
2020,PHYSICAL CONDITION OF DRIVER,651
2020,RELATED TO BUS STOP,75
2020,ROAD CONSTRUCTION/MAINTENANCE,133
2020,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,151
2020,TEXTING,35
2020,TURNING RIGHT ON RED,74
2020,UNABLE TO DETERMINE,35991
2020,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),634
2020,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",540
2020,WEATHER,1226
2021,ANIMAL,85
2021,BICYCLE ADVANCING LEGALLY ON RED LIGHT,7
2021,CELL PHONE USE OTHER THAN TEXTING,147
2021,DISREGARDING OTHER TRAFFIC SIGNS,265
2021,DISREGARDING ROAD MARKINGS,125
2021,DISREGARDING STOP SIGN,1327
2021,DISREGARDING TRAFFIC SIGNALS,2436
2021,DISREGARDING YIELD SIGN,34
2021,DISTRACTION - FROM INSIDE VEHICLE,712
2021,DISTRACTION - FROM OUTSIDE VEHICLE,444
2021,"DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",52
2021,DRIVING ON WRONG SIDE/WRONG WAY,680
2021,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,3645
2021,EQUIPMENT - VEHICLE CONDITION,788
2021,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",224
2021,FAILING TO REDUCE SPEED TO AVOID CRASH,4854
2021,FAILING TO YIELD RIGHT-OF-WAY,11086
2021,FOLLOWING TOO CLOSELY,8985
2021,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),111
2021,IMPROPER BACKING,3770
2021,IMPROPER LANE USAGE,3436
2021,IMPROPER OVERTAKING/PASSING,5225
2021,IMPROPER TURNING/NO SIGNAL,3401
2021,NOT APPLICABLE,5614
2021,OBSTRUCTED CROSSWALKS,20
2021,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",1577
2021,PASSING STOPPED SCHOOL BUS,15
2021,PHYSICAL CONDITION OF DRIVER,752
2021,RELATED TO BUS STOP,63
2021,ROAD CONSTRUCTION/MAINTENANCE,199
