YEAR,WEATHER_CONDITION,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_FATAL,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_UNKNOWN,INJURIES_TOTAL,COUNT
2013,CLEAR,0.0,0.0,0.0,2.0,0.0,2.0,1
2013,CLEAR,0.0,1.0,0.0,0.0,0.0,1.0,1
2014,CLEAR,0.0,0.0,0.0,0.0,0.0,0.0,2
2014,CLEAR,0.0,1.0,0.0,0.0,0.0,1.0,1
2014,RAIN,0.0,0.0,0.0,0.0,0.0,0.0,2
2014,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,1
2015,CLEAR,0.0,0.0,0.0,0.0,0.0,0.0,7036
2015,CLEAR,0.0,0.0,0.0,1.0,0.0,1.0,146
2015,CLEAR,0.0,0.0,0.0,2.0,0.0,2.0,34
2015,CLEAR,0.0,0.0,0.0,3.0,0.0,3.0,9
2015,CLEAR,0.0,0.0,0.0,4.0,0.0,4.0,4
2015,CLEAR,0.0,0.0,0.0,5.0,0.0,5.0,1
2015,CLEAR,0.0,0.0,0.0,6.0,0.0,6.0,1
2015,CLEAR,0.0,0.0,1.0,0.0,0.0,1.0,1
2015,CLEAR,0.0,1.0,0.0,0.0,0.0,1.0,120
2015,CLEAR,0.0,1.0,0.0,1.0,0.0,2.0,4
2015,CLEAR,0.0,2.0,0.0,0.0,0.0,2.0,17
2015,CLEAR,0.0,2.0,0.0,1.0,0.0,3.0,1
2015,CLEAR,0.0,3.0,0.0,0.0,0.0,3.0,7
2015,CLEAR,0.0,3.0,0.0,2.0,0.0,5.0,1
2015,CLEAR,0.0,4.0,0.0,0.0,0.0,4.0,2
2015,CLEAR,1.0,0.0,0.0,0.0,0.0,1.0,22
2015,CLEAR,1.0,0.0,1.0,0.0,0.0,2.0,1
2015,CLEAR,1.0,1.0,0.0,0.0,0.0,2.0,7
2015,CLEAR,2.0,0.0,0.0,0.0,0.0,2.0,2
2015,CLEAR,2.0,0.0,0.0,2.0,0.0,4.0,1
2015,CLEAR,2.0,1.0,0.0,0.0,0.0,3.0,1
2015,CLEAR,3.0,0.0,0.0,0.0,0.0,3.0,2
2015,CLOUDY/OVERCAST,0.0,0.0,0.0,0.0,0.0,0.0,241
2015,CLOUDY/OVERCAST,0.0,0.0,0.0,1.0,0.0,1.0,14
2015,CLOUDY/OVERCAST,0.0,0.0,0.0,2.0,0.0,2.0,1
2015,CLOUDY/OVERCAST,0.0,0.0,0.0,6.0,0.0,6.0,1
2015,CLOUDY/OVERCAST,0.0,0.0,1.0,0.0,0.0,1.0,1
2015,CLOUDY/OVERCAST,0.0,1.0,0.0,0.0,0.0,1.0,3
2015,CLOUDY/OVERCAST,0.0,2.0,0.0,0.0,0.0,2.0,1
2015,CLOUDY/OVERCAST,1.0,0.0,0.0,0.0,0.0,1.0,1
2015,CLOUDY/OVERCAST,3.0,0.0,0.0,0.0,0.0,3.0,1
2015,FOG/SMOKE/HAZE,0.0,0.0,0.0,0.0,0.0,0.0,13
2015,OTHER,0.0,0.0,0.0,0.0,0.0,0.0,25
2015,OTHER,0.0,0.0,0.0,1.0,0.0,1.0,1
2015,OTHER,1.0,0.0,0.0,0.0,0.0,1.0,1
2015,RAIN,0.0,0.0,0.0,0.0,0.0,0.0,888
2015,RAIN,0.0,0.0,0.0,1.0,0.0,1.0,29
2015,RAIN,0.0,0.0,0.0,2.0,0.0,2.0,4
2015,RAIN,0.0,0.0,0.0,3.0,0.0,3.0,1
2015,RAIN,0.0,0.0,0.0,4.0,0.0,4.0,1
2015,RAIN,0.0,0.0,0.0,5.0,0.0,5.0,1
2015,RAIN,0.0,1.0,0.0,0.0,0.0,1.0,25
2015,RAIN,0.0,2.0,0.0,0.0,0.0,2.0,4
2015,RAIN,0.0,2.0,0.0,1.0,0.0,3.0,1
2015,RAIN,0.0,3.0,0.0,0.0,0.0,3.0,3
2015,RAIN,1.0,0.0,0.0,0.0,0.0,1.0,4
2015,RAIN,1.0,1.0,0.0,3.0,0.0,5.0,1
2015,RAIN,2.0,0.0,0.0,0.0,0.0,2.0,1
2015,RAIN,2.0,1.0,0.0,0.0,0.0,3.0,1
2015,RAIN,3.0,1.0,0.0,0.0,0.0,4.0,1
2015,SEVERE CROSS WIND GATE,0.0,0.0,0.0,0.0,0.0,0.0,2
2015,SEVERE CROSS WIND GATE,0.0,0.0,0.0,1.0,0.0,1.0,1
2015,SLEET/HAIL,0.0,0.0,0.0,0.0,0.0,0.0,14
2015,SLEET/HAIL,0.0,0.0,0.0,1.0,0.0,1.0,3
2015,SLEET/HAIL,0.0,1.0,0.0,0.0,0.0,1.0,2
2015,SLEET/HAIL,1.0,0.0,0.0,0.0,0.0,1.0,2
2015,SNOW,0.0,0.0,0.0,0.0,0.0,0.0,280
2015,SNOW,0.0,0.0,0.0,1.0,0.0,1.0,3
2015,SNOW,0.0,0.0,0.0,2.0,0.0,2.0,1
2015,SNOW,0.0,1.0,0.0,0.0,0.0,1.0,4
2015,SNOW,0.0,2.0,0.0,0.0,0.0,2.0,1
2015,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,740
2015,UNKNOWN,0.0,0.0,0.0,1.0,0.0,1.0,13
2015,UNKNOWN,0.0,0.0,0.0,3.0,0.0,3.0,1
2015,UNKNOWN,0.0,1.0,0.0,0.0,0.0,1.0,4
2015,UNKNOWN,0.0,2.0,0.0,0.0,0.0,2.0,1
2015,UNKNOWN,1.0,0.0,0.0,0.0,0.0,1.0,3
2016,CLEAR,0.0,0.0,0.0,0.0,0.0,0.0,33100
2016,CLEAR,0.0,0.0,0.0,1.0,0.0,1.0,719
2016,CLEAR,0.0,0.0,0.0,2.0,0.0,2.0,156
2016,CLEAR,0.0,0.0,0.0,3.0,0.0,3.0,27
2016,CLEAR,0.0,0.0,0.0,4.0,0.0,4.0,10
2016,CLEAR,0.0,0.0,0.0,5.0,0.0,5.0,11
2016,CLEAR,0.0,0.0,0.0,6.0,0.0,6.0,1
2016,CLEAR,0.0,0.0,0.0,7.0,0.0,7.0,2
2016,CLEAR,0.0,0.0,0.0,8.0,0.0,8.0,1
2016,CLEAR,0.0,0.0,0.0,10.0,0.0,10.0,1
2016,CLEAR,0.0,0.0,1.0,0.0,0.0,1.0,7
2016,CLEAR,0.0,0.0,1.0,2.0,0.0,3.0,1
2016,CLEAR,0.0,1.0,0.0,0.0,0.0,1.0,758
2016,CLEAR,0.0,1.0,0.0,1.0,0.0,2.0,22
2016,CLEAR,0.0,1.0,0.0,2.0,0.0,3.0,9
2016,CLEAR,0.0,1.0,0.0,3.0,0.0,4.0,1
2016,CLEAR,0.0,1.0,0.0,5.0,0.0,6.0,1
2016,CLEAR,0.0,1.0,0.0,10.0,0.0,11.0,1
2016,CLEAR,0.0,1.0,1.0,0.0,0.0,2.0,2
2016,CLEAR,0.0,1.0,1.0,2.0,0.0,4.0,2
2016,CLEAR,0.0,2.0,0.0,0.0,0.0,2.0,112
2016,CLEAR,0.0,2.0,0.0,1.0,0.0,3.0,3
2016,CLEAR,0.0,3.0,0.0,0.0,0.0,3.0,29
2016,CLEAR,0.0,3.0,0.0,1.0,0.0,4.0,2
2016,CLEAR,0.0,4.0,0.0,0.0,0.0,4.0,12
2016,CLEAR,0.0,4.0,0.0,1.0,0.0,5.0,1
2016,CLEAR,0.0,5.0,0.0,0.0,0.0,5.0,3
2016,CLEAR,0.0,6.0,0.0,0.0,0.0,6.0,1
2016,CLEAR,0.0,6.0,0.0,1.0,0.0,7.0,2
2016,CLEAR,0.0,7.0,0.0,0.0,0.0,7.0,1
2016,CLEAR,1.0,0.0,0.0,0.0,0.0,1.0,144
2016,CLEAR,1.0,0.0,0.0,1.0,0.0,2.0,5
2016,CLEAR,1.0,0.0,0.0,2.0,0.0,3.0,2
2016,CLEAR,1.0,1.0,0.0,0.0,0.0,2.0,15
2016,CLEAR,1.0,1.0,0.0,2.0,0.0,4.0,1
2016,CLEAR,1.0,2.0,0.0,0.0,0.0,3.0,5
2016,CLEAR,1.0,2.0,0.0,1.0,0.0,4.0,3
2016,CLEAR,1.0,3.0,0.0,0.0,0.0,4.0,2
2016,CLEAR,1.0,4.0,0.0,0.0,0.0,5.0,1
2016,CLEAR,1.0,7.0,0.0,0.0,0.0,8.0,1
2016,CLEAR,2.0,0.0,0.0,0.0,0.0,2.0,16
2016,CLEAR,2.0,1.0,0.0,0.0,0.0,3.0,2
